,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,NObeyesdad,lifestyle
20717,0,3,3,3,0,2,1,3,2,1,0,-12
6650,0,2,3,2,0,1,0,3,2,1,0,-10
17685,0,1,4,2,0,2,1,3,1,1,0,-10
1761,0,2,3,2,0,2,1,3,1,1,0,-9
9234,1,2,3,3,0,2,1,2,1,0,0,-9
11388,1,2,3,2,0,2,0,3,2,0,0,-9
13370,0,3,3,1,0,2,1,3,2,0,0,-9
18925,1,2,4,3,0,2,0,2,2,0,0,-9
1057,1,2,3,2,0,2,0,3,2,1,0,-8
1576,0,3,4,3,0,3,0,2,2,0,0,-8
1932,1,2,4,2,0,3,0,3,2,0,0,-8
4057,0,2,3,3,0,2,0,1,2,0,0,-8
4134,1,2,3,2,0,2,0,3,2,1,0,-8
4378,0,2,4,2,0,2,1,2,1,0,0,-8
7158,1,3,3,2,0,2,0,3,2,0,0,-8
9145,1,3,3,3,0,2,0,2,2,0,0,-8
15100,1,1,3,2,0,1,0,3,1,1,0,-8
17721,1,2,3,2,0,1,0,2,2,0,0,-8
18373,1,2,4,2,0,1,0,2,2,0,0,-8
19999,0,2,4,2,0,2,0,2,2,0,0,-8
1177,1,1,4,2,0,1,0,2,1,0,0,-7
2127,1,2,3,2,0,2,0,2,2,0,0,-7
2860,1,1,3,2,0,1,0,1,2,0,0,-7
2868,1,1,3,1,0,2,0,3,2,1,0,-7
3148,1,2,3,2,0,2,0,2,2,0,0,-7
4336,0,3,4,2,0,2,0,2,2,0,0,-7
5385,1,2,3,2,0,1,0,2,2,1,0,-7
5727,1,2,4,2,0,1,0,2,2,1,0,-7
6290,1,2,3,2,0,2,0,3,1,0,0,-7
6958,0,3,4,2,0,1,0,2,2,1,0,-7
7637,0,3,3,1,1,2,0,3,2,0,0,-7
7663,1,2,4,3,0,2,0,2,1,0,0,-7
7845,1,2,3,2,0,2,0,2,2,0,0,-7
9121,1,1,3,2,0,1,0,2,1,0,0,-7
10168,1,2,3,2,0,2,0,2,2,0,0,-7
10638,1,1,3,2,0,1,0,3,0,0,0,-7
10911,1,2,3,2,0,2,1,2,1,0,0,-7
12061,1,2,4,3,0,2,0,2,1,0,0,-7
12331,1,1,3,2,0,1,0,2,1,0,0,-7
12482,1,2,3,2,0,2,0,2,2,0,0,-7
13098,0,1,4,2,0,1,0,2,1,1,0,-7
14062,1,3,3,3,0,3,1,2,1,0,0,-7
14609,1,2,3,2,0,2,0,2,2,0,0,-7
15108,0,2,3,2,0,2,0,3,1,1,0,-7
16137,1,1,3,2,1,2,0,2,2,1,0,-7
16897,1,1,4,2,0,1,0,2,1,0,0,-7
16905,1,2,3,1,0,3,1,3,2,1,0,-7
17041,1,2,3,2,0,2,0,3,1,0,0,-7
17701,1,2,3,2,0,2,1,2,1,0,0,-7
18332,1,2,4,3,0,1,0,2,1,1,0,-7
18616,1,2,4,2,0,2,0,2,2,0,0,-7
18715,0,1,3,2,0,1,0,2,1,1,0,-7
19441,1,2,4,2,0,2,0,2,2,0,0,-7
19679,0,2,3,2,0,1,1,2,0,0,0,-7
19883,0,1,4,2,0,1,1,1,1,1,0,-7
20334,1,2,3,2,0,2,0,2,2,0,0,-7
20500,1,2,3,1,0,2,0,3,2,0,0,-7
39,1,2,3,2,0,1,0,2,1,0,0,-6
